Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
Current time: 2020-08-17_15-22-39-315009
2020-08-17 15-22-43-758993 1 6947 451 113.08 1 27.24
2020-08-17 15-22-53-929038 2 17132 295 51.75 9 27.13
2020-08-17 15-23-00-901432 3 24110 312 55.68 15 27.45
2020-08-17 15-23-08-829925 4 32045 204 34.73 23 27.02
2020-08-17 15-23-11-967746 5 35182 655 252.34 29 26.91
2020-08-17 15-23-35-742151 6 58981 207 35.26 41 27.13
2020-08-17 15-23-58-991300 7 82249 198 33.69 51 27.34
2020-08-17 15-24-02-332123 8 85593 199 33.86 57 26.91
2020-08-17 15-24-03-078423 9 86340 316 56.81 63 26.91
2020-08-17 15-24-04-822301 10 88084 252 43.42 68 27.34
2020-08-17 15-24-15-226527 11 98499 92 21.32 79 27.13
2020-08-17 15-24-20-101471 12 103371 483 132.60 84 27.24
2020-08-17 15-24-46-454539 13 129746 327 59.28 101 27.13
2020-08-17 15-24-54-319991 14 137618 184 31.36 106 26.91
2020-08-17 15-24-55-325548 15 138625 472 125.87 112 27.34
2020-08-17 15-25-02-499088 16 145805 188 32.01 117 27.34
2020-08-17 15-25-18-274662 17 161593 231 39.55 125 27.45
2020-08-17 15-25-30-351844 18 173686 304 53.73 133 27.13
2020-08-17 15-25-51-869505 19 195216 184 31.36 142 26.91
2020-08-17 15-26-07-347367 20 210710 280 48.67 150 27.34
2020-08-17 15-26-07-499955 21 210867 126 24.09 155 27.34
2020-08-17 15-26-10-112504 22 213482 262 45.24 160 27.13
2020-08-17 15-26-16-954109 23 220322 387 81.05 169 27.34
2020-08-17 15-26-20-347280 24 223720 224 38.29 174 27.34
2020-08-17 15-26-38-277548 25 241664 295 51.75 184 27.13
2020-08-17 15-26-38-893895 26 242286 163 28.20 189 27.13
2020-08-17 15-26-51-633419 27 255032 327 59.28 197 27.13
2020-08-17 15-26-57-011856 28 260415 415 95.00 206 27.34
2020-08-17 15-26-59-062581 29 262468 216 36.85 213 27.13
2020-08-17 15-27-02-310857 30 265719 295 51.75 218 27.13
2020-08-17 15-27-18-004528 31 281432 216 36.85 227 26.91
2020-08-17 15-27-25-238507 32 288672 545 167.38 233 27.13
2020-08-17 15-27-32-134592 33 295570 166 28.62 241 27.34
2020-08-17 15-27-41-545505 34 304989 396 85.28 249 27.34
2020-08-17 15-28-11-947268 35 335417 387 81.05 261 27.34
2020-08-17 15-28-12-322749 36 335795 159 27.66 266 27.13
2020-08-17 15-28-13-551466 37 337022 80 20.14 272 27.45
2020-08-17 15-28-35-292650 38 358781 124 23.92 284 27.13
2020-08-17 15-28-36-444831 39 359934 176 30.09 289 27.34
2020-08-17 15-28-38-685008 40 362177 176 30.09 296 26.91
